ID,X,Y,C,N,Status,Zone,ptID,area
PPM006,518016.280737569,5646220.49553378,-3.24936348416332,2.5953820921484,TRUE,PP,1,2.12396528564453
PPM006,518136.367525811,5646220.49553378,-3.26921188607086,2.57559332712777,TRUE,PP,2,2.12396528564453
PPM006,518256.454314052,5646220.49553378,-2.81040993237938,2.61533268415652,TRUE,PP,3,2.12396528564453
PPM006,518376.541102294,5646220.49553378,-2.74701599102863,2.63048824517982,TRUE,PP,4,2.12396528564453
PPM006,518496.627890535,5646220.49553378,-2.24420879845656,2.71202776391378,TRUE,PP,5,2.12396528564453
PPM006,518376.541102294,5646340.58232202,-2.70422896562621,2.69828479579545,TRUE,PP,10,2.12396528564453
PPM006,518616.714678777,5646340.58232202,-2.23322099978007,2.72560838190221,TRUE,PP,12,2.12396528564453
PPM006,518736.801467018,5646340.58232202,-2.20972521522259,2.73262737863202,TRUE,PP,13,2.12396528564453
PPM006,518856.88825526,5646340.58232202,-2.21036992580575,2.74450137541457,TRUE,PP,14,2.12396528564453
PPM006,518976.975043501,5646340.58232202,-2.02809042483652,2.68079363734198,TRUE,PP,15,2.12396528564453
PPM006,517896.193949328,5646460.66911026,-0.762989165002747,2.71208657248998,TRUE,PP,16,2.12396528564453
PPM006,518016.280737569,5646460.66911026,-2.22542868359594,2.76368665896763,TRUE,PP,17,2.12396528564453
PPM006,518136.367525811,5646460.66911026,-2.22193940825069,2.77061612445471,TRUE,PP,18,2.12396528564453
PPM006,518736.801467018,5646460.66911026,-3.08447869539248,2.59383180310062,TRUE,PP,23,2.12396528564453
PPM006,518856.88825526,5646460.66911026,-2.7259936994394,2.65431262937544,TRUE,PP,24,2.12396528564453
PPM006,518976.975043501,5646460.66911026,-2.29320837742107,2.6059216547944,TRUE,PP,25,2.12396528564453
PPM006,517776.107161087,5646580.7558985,-0.706313175017738,2.72766359144647,TRUE,PP,26,2.12396528564453
PPM006,517896.193949328,5646580.7558985,-0.710565361600069,2.7314046078502,TRUE,PP,27,2.12396528564453
PPM006,518016.280737569,5646580.7558985,-0.715184971791824,2.74557604448356,TRUE,PP,28,2.12396528564453
PPM006,518136.367525811,5646580.7558985,-0.7342353706447,2.74060814632261,TRUE,PP,29,2.12396528564453
PPM006,518256.454314052,5646580.7558985,-2.15574463438222,2.77685872699688,TRUE,PP,30,2.12396528564453
