ID,X,Y,C,N,Status,Zone,ptID,area
PPM002,516179.307062831,5656014.03739418,-2.29584327988419,2.44429909838283,TRUE,PP,,
PPM002,516127.459370594,5655981.88129218,-2.29584327988419,2.44429909838283,TRUE,PP,,
PPM002,516121.108080956,5656222.49958116,-2.20771277671646,2.60185541498275,TRUE,PP,,
PPM002,516119.65541275,5656225.36415418,-2.20771277671646,2.60185541498275,TRUE,PP,,
PPM002,516037.475685382,5656356.09749841,-2.27539434723976,2.47878264271542,TRUE,PP,,
PPM002,515951.662849322,5656854.23386992,-2.51101294807739,2.71477977574145,TRUE,PP,,
PPM002,515942.118873026,5656826.92558704,-2.51101294807739,2.71477977574145,TRUE,PP,,
PPM002,516126.90811536,5657053.38103593,-1.03737092974336,2.57422030980581,TRUE,PP,,
PPM002,516160.365997895,5657096.44453308,-1.10591132613426,2.60177658512588,TRUE,PP,,
PPM002,516118.686128028,5657074.37327064,-1.43618647326223,2.75619371820773,TRUE,PP,,
PPM002,516496.076585515,5656319.13202905,-2.30809412207241,2.29879535319077,TRUE,PP,,
PPM002,516451.192297493,5656318.03243436,-2.30809412207241,2.29879535319077,TRUE,PP,,
PPM002,516437.607054519,5656292.64535453,-2.30809412207241,2.29879535319077,TRUE,PP,,
PPM002,516450.822705991,5656288.86196945,-2.30809412207241,2.29879535319077,TRUE,PP,,
PPM002,516421.154992739,5656269.55115302,-2.32630274264518,2.31057766964416,TRUE,PP,,
PPM002,516465.951656475,5656520.17386815,-2.23896104675791,2.28648095317755,TRUE,PP,,
PPM002,516438.647403359,5656474.33675977,-2.24586849084677,2.28278870253087,TRUE,PP,,
PPM002,516557.534091765,5656480.13243181,-2.24947880039046,2.28138049141743,TRUE,PP,,
PPM002,516458.328976243,5656532.73806331,-2.23896104675791,2.28648095317755,TRUE,PP,,
PPM002,516818.310221935,5656619.80488361,-2.30031396731503,2.35569938105435,TRUE,PP,,
PPM002,516786.40227385,5656652.51789085,-2.30031396731503,2.35569938105435,TRUE,PP,,
PPM002,516825.289303819,5656645.82757107,-2.30031396731503,2.35569938105435,TRUE,PP,,
PPM002,516311.86558932,5656101.5508433,-2.2912858059645,2.45486616882512,TRUE,PP,,
PPM002,516101.148713316,5656388.63433822,-2.29486468739722,2.61120096519467,TRUE,PP,,
PPM002,516034.265057133,5656340.58543929,-2.27804156281144,2.47701875953713,TRUE,PP,,
PPM002,515947.958465653,5656354.36339126,-2.29206096995314,2.45744972869472,TRUE,PP,,
PPM002,515983.389118571,5656355.25140514,-2.27539434723976,2.47878264271542,TRUE,PP,,
PPM002,515998.424438267,5656406.37479424,-2.27539434723976,2.47878264271542,TRUE,PP,,
PPM002,515955.661876855,5656372.04667173,-2.29206096995314,2.45744972869472,TRUE,PP,,
PPM002,515900.892675508,5656376.7262591,-2.29206096995314,2.45744972869472,TRUE,PP,,
PPM002,515931.768562785,5656395.55962567,-2.29206096995314,2.45744972869472,TRUE,PP,,
PPM002,515648.331471571,5656575.96921206,-2.24823952048278,2.51787384207027,TRUE,PP,,
PPM002,515685.34618655,5656597.03271993,-2.12231998687698,2.58381112583059,TRUE,PP,,
PPM002,515806.294082208,5656661.3449824,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515801.528344293,5656517.26327833,-2.16989498825423,2.60117981137595,TRUE,PP,,
PPM002,515802.946117802,5656653.90618365,-1.96512143333947,2.57859734455273,TRUE,PP,,
PPM002,515849.793549514,5656626.38180804,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515908.430093354,5656905.36634663,-2.65442600756885,2.8649436556243,TRUE,PP,,
PPM002,515945.564390148,5656823.09962771,-2.09274145869473,2.54536183009441,TRUE,PP,,
PPM002,515879.329925398,5656761.29852569,-1.98793577481855,2.60365110173579,TRUE,PP,,
PPM002,515826.063927455,5656727.32836673,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515862.072516051,5656737.71431127,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515889.693491021,5656645.43170263,-1.86925816641148,2.62541619088122,TRUE,PP,,
PPM002,515925.976228446,5656726.10101826,-2.0171690599497,2.63691823954851,TRUE,PP,,
PPM002,515911.666670093,5656646.48911874,-1.86925816641148,2.62541619088122,TRUE,PP,,
PPM002,515913.31014589,5656645.30428263,-1.86925816641148,2.62541619088122,TRUE,PP,,
PPM002,515909.700541559,5656629.57977403,-1.86925816641148,2.62541619088122,TRUE,PP,,
PPM002,515876.046531319,5656630.3880482,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515851.805899693,5656582.66186366,-2.02398832804602,2.61267297777358,TRUE,PP,,
PPM002,515879.075015097,5656593.57711894,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515865.937845454,5656645.18070369,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515774.23357647,5656698.02267333,-1.97199529440014,2.5782557150193,TRUE,PP,,
PPM002,515773.426588599,5656661.68926851,-1.96512143333947,2.57859734455273,TRUE,PP,,
PPM002,515849.096746888,5656675.29910678,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515875.334069318,5656675.20180193,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515881.762527483,5656656.21650134,-1.91628038598271,2.60623300693878,TRUE,PP,,
PPM002,515861.947131992,5656705.54207966,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515874.012146436,5656729.06583918,-1.97085126357115,2.60778946210091,TRUE,PP,,
PPM002,515886.602353831,5656732.1849739,-2.0171690599497,2.63691823954851,TRUE,PP,,
