ID,EASTING,NORTHING
PPM003,528107.335069227,5653533.03652751
PPM003,528209.422756401,5653470.64960623
PPM003,528156.94780221,5653809.43401684
PPM003,528257.981831328,5653605.47558855
PPM003,528269.484386697,5653656.24897897
PPM003,528278.061946806,5653652.07004239
PPM003,528261.886598375,5653609.5004027
PPM003,528252.084951605,5653593.87779749
PPM003,527896.623451271,5653324.27104855
PPM003,528273.373968823,5653560.52088569
PPM003,528318.233867007,5653295.09266171
PPM003,528132.693259232,5653061.21163264
PPM003,528091.161537086,5653089.89954716
PPM003,528089.301308979,5653019.27296509
PPM003,528131.337879618,5652885.05231164
PPM003,528149.677167655,5653058.85755976
PPM003,528075.778479704,5653068.68661495
PPM003,528133.794092992,5653065.10987209
PPM003,528178.438130122,5652941.57965545
PPM003,528297.915050637,5653035.75760474
PPM003,528024.665550179,5653027.92983139
PPM003,528034.506982751,5653036.54614878
PPM003,528001.537323,5653012.34669058
PPM003,528004.067377754,5652946.63705582
PPM003,527966.000323107,5652983.01803095
PPM003,527998.966958556,5652956.06201689
PPM003,527973.652334139,5652968.60253298
PPM003,527971.405240856,5652969.14640561
PPM003,528032.262900092,5652984.82271072
PPM003,528002.1277263,5653032.81198091
PPM003,528063.558996443,5653071.84524939
PPM003,528107.257719798,5653147.59232023
PPM003,528461.975840903,5653526.97087015
PPM003,528661.442166246,5653911.84969677
PPM003,528903.314597615,5654218.23896797
PPM003,528243.397706049,5653938.79502063
PPM003,528156.17882862,5653860.47392588
PPM003,528168.206533893,5653905.02236563
PPM003,528350.183092028,5653530.24855568
PPM003,528344.382650337,5653526.658105
PPM003,528376.495337281,5653718.77797463
PPM003,527124.899390266,5652215.32294216
PPM003,527698.631532655,5651130.6522826
PPM003,527860.027245103,5650159.35137323
PPM003,529217.233667594,5648851.15331709
PPM003,530298.755529178,5648954.34477572
PPM003,529560.452440515,5650568.80024604
PPM003,529773.361516567,5650745.39485273
PPM003,529663.127494988,5650527.35187348
PPM003,529687.130644043,5650562.7421846
PPM003,529672.812879157,5650526.85139481
PPM003,529177.436943096,5651662.68075091
PPM003,529025.239398715,5651721.09742387
PPM003,528151.119550784,5652188.7820203
PPM003,528035.46809687,5653027.43238636
PPM003,528025.389043356,5653153.1528757
PPM003,528077.578108573,5653240.84491437
PPM003,528700.490202496,5653723.79251676
PPM003,528570.55425749,5653927.47135458
PPM003,528513.395230838,5654641.32909856
PPM003,528661.700718666,5654358.12618354
PPM003,529059.912853245,5654012.38289833
PPM003,529041.667188734,5654027.62692328
PPM003,529115.752966069,5653957.64962344
PPM003,531647.784573269,5652805.19075579
PPM003,531271.175862926,5653198.68652098
PPM003,531025.779216155,5653377.47504835
PPM003,530978.979199354,5653463.82506077
PPM003,530828.209432122,5653476.26829087
PPM003,530848.569050588,5653472.27511284
PPM003,530343.105118613,5654155.32207677
PPM003,530330.331742964,5654157.47122289
PPM003,529372.631787365,5653876.25410067
PPM003,529293.065356723,5653935.07593149
PPM003,529075.482104351,5653837.31886412
PPM003,528975.126289096,5653752.79354585
PPM003,528655.606731266,5653408.93811713
PPM003,528691.511768876,5653396.01489954
PPM003,528349.39409284,5653073.29411379
PPM003,528095.53955097,5653161.76310345
PPM003,528260.630666556,5653441.68193593
PPM003,528388.418068268,5653743.86509133
PPM003,528216.106330139,5653723.45997027
PPM003,528245.541561422,5653572.26783496
PPM003,528316.546849773,5653538.96069154
PPM003,528600.268119895,5653651.61931724
PPM003,528580.030970566,5653646.61422235
PPM003,528336.650449934,5653619.5848975
PPM003,528237.151417802,5653798.75100072
PPM003,528258.855887287,5654599.33960582
PPM003,528104.35718152,5654608.83897206
PPM003,527858.301048262,5654617.95955862
PPM003,527954.084012588,5654692.65229107
PPM003,529010.745774427,5654239.97055517
PPM003,528992.842229599,5654219.40788035
PPM003,529045.990140798,5654256.40488151
PPM003,528970.033085579,5654160.89603191
PPM003,528968.684010766,5654101.39250831
PPM003,528961.898158325,5654048.6421606
PPM003,529038.685443842,5654021.71617102
PPM003,528204.024138223,5652133.91176645
PPM003,528120.617792169,5651477.78191624
PPM003,528899.625319982,5651366.31087148
PPM003,529517.778972692,5651554.62880016
PPM003,531756.973973604,5653479.66862405
PPM003,533682.699424073,5655234.38776593
PPM003,532885.251530652,5655540.96559228
PPM003,532091.055205497,5655463.90601134
PPM003,527693.389748061,5653810.59841981
PPM003,527430.500923384,5653721.12006836
PPM003,527926.200155934,5653690.52453363
PPM003,527988.502490177,5653670.95556344
PPM003,527995.988255293,5653674.10991742
PPM003,528028.385522742,5653647.92946498
PPM003,528316.536412101,5653515.27350788
PPM003,528343.563915519,5653918.77022098
PPM003,528058.153026361,5653847.81907395
PPM003,527822.587630085,5653842.20810693
PPM003,527453.532318692,5653728.24843423
PPM003,527432.354195812,5653649.40137659
PPM003,527282.307894363,5653740.24150594
PPM003,527449.334679831,5653515.26469495
PPM003,527995.622258535,5653832.24449259
PPM003,528409.802567928,5653744.20504351
PPM003,528332.084797478,5653633.79438096
PPM003,528330.97387483,5653631.78656026
PPM003,528032.422890839,5653601.68920175
PPM003,527988.631256912,5653867.23687193
PPM003,528010.192445298,5653873.69252603
PPM003,528105.001529135,5653910.46093305
PPM003,528155.065464018,5653858.91095793
PPM003,528164.126123434,5653933.2467509
PPM003,528445.374579726,5654007.73953034
PPM003,528358.151578117,5653994.80481991
PPM003,528270.545059542,5653962.18580703
PPM003,528165.089939141,5653949.37705028
PPM003,528206.055860356,5653856.1864805
PPM003,528010.405986749,5653886.03767941
PPM003,527717.663389822,5653821.29325645
PPM003,527443.270294857,5653785.68795778
PPM003,527513.809279251,5653561.86971671
PPM003,527206.033603728,5653324.48134196
PPM003,527171.079429962,5653237.2224268
PPM003,527190.695044295,5653294.26353673
PPM003,527180.615959007,5653303.99672092
PPM003,527185.093888057,5653305.91079352
PPM003,527190.837444991,5653320.50911772
PPM003,527141.099517811,5653177.34678464
PPM003,528276.234876793,5653678.41614578
PPM003,528161.33018767,5653841.5967785
PPM003,528184.011305572,5653848.3928846
PPM004,523312.034841027,5658693.96846888
PPM004,523450.673517084,5658569.04393116
PPM004,524102.480462658,5659401.09884125
PPM004,524067.592947444,5659042.29209702
PPM004,524103.32146393,5659400.99156414
PPM004,524096.399440846,5659398.40144826
PPM004,523795.009435735,5659702.15522744
PPM004,523704.117385017,5659546.15749303
PPM004,523713.664559903,5659541.41946577
PPM004,523802.527070554,5659378.35397665
PPM004,523779.340815326,5659363.67885688
PPM004,523549.837155382,5659266.32027866
PPM004,523913.550509907,5659059.59122335
PPM004,524100.614709005,5659125.85180858
PPM004,524030.101636587,5659256.30268985
PPM004,523792.73013202,5659376.41824677
PPM004,523794.122732401,5659378.2039892
PPM004,524636.52919736,5660270.04058276
PPM004,524705.159143612,5659904.4958188
PPM004,524704.778950565,5659866.90582567
PPM004,524275.884803891,5659300.9357677
PPM004,524226.123477305,5659307.48544574
PPM004,524250.002410683,5659278.9061467
PPM004,523708.701049113,5659554.63032408
PPM004,525451.762798005,5660054.36498786
PPM004,525436.691363488,5660213.42894788
PPM004,525745.331397302,5659972.19410967
PPM004,525527.204806583,5659329.4411864
PPM004,525299.865796538,5659353.8987511
PPM004,525098.745953982,5659417.19408863
PPM004,523918.895915485,5658994.44851369
PPM004,523691.658156478,5659513.96130972
PPM004,525980.589094797,5660692.33318535
PPM004,526020.037405035,5660715.21856515
PPM004,525991.63373379,5660668.36793542
PPM004,526027.294935219,5660678.55656737
PPM004,526023.180160459,5660592.01599605
PPM004,526051.052004878,5660480.83759417
PPM004,526638.561771459,5659983.181211
PPM004,526392.63663756,5659155.19747052
PPM004,526590.607203139,5659218.82427547
PPM004,524124.65864842,5659196.80331532
PPM004,525166.043772593,5661571.61697941
PPM004,525181.205824507,5661549.22702476
PPM004,525125.521910092,5661511.03334812
PPM004,524093.998613161,5659357.5771094
PPM004,524094.259034657,5659361.80420776
PPM004,524075.447760498,5659325.35153965
PPM004,524093.714813792,5659358.35423552
PPM004,524050.053414666,5659318.67182611
PPM004,524051.246674932,5659303.1083545
PPM004,524068.528700522,5659352.12023165
PPM004,524046.301210049,5659297.19130306
PPM004,524062.167956355,5659319.28436759
PPM004,524042.708874412,5659301.51164439
PPM004,524064.850790859,5659329.75038067
PPM004,524048.69566785,5659324.44827995
PPM004,524059.623127666,5659324.2768288
PPM004,524064.386965044,5659324.0766389
PPM004,524347.993093062,5659649.79990296
PPM004,524298.281835139,5659631.54982729
PPM004,524135.169238468,5659345.64799714
PPM004,524092.520827655,5659389.04190506
PPM004,524332.67053083,5659631.6007606
PPM004,524489.423299028,5659792.48160689
PPM004,524736.59098843,5659775.97930206
PPM004,524884.950890499,5659568.17883813
PPM004,524184.163812877,5659293.38759891
PPM004,524123.104698377,5659334.35960553
PPM004,524140.676506385,5659381.14893971
PPM004,523364.435072677,5659219.32605517
PPM004,525391.15241346,5660160.38079789
PPM004,525391.534324848,5660153.9326277
PPM004,526521.539292245,5659355.8103277
PPM004,526512.559772106,5659358.5443564
PPM004,526506.532517611,5659345.613268
PPM004,526487.862207596,5659353.19068914
PPM004,526393.575310627,5659382.39980638
PPM004,526401.692495928,5659315.49424836
PPM004,526427.414255796,5659298.72239368
PPM004,526487.079354574,5659382.87916005
PPM004,526492.930415774,5659375.56949503
PPM004,526561.825496914,5659598.33958565
PPM004,526627.22347487,5659303.53113617
PPM004,526499.030802642,5659374.26634072
PPM004,526386.116314626,5659389.14531731
PPM004,526482.134462074,5659295.55562318
PPM004,526605.935565524,5659655.50540628
PPM004,526594.09768905,5659465.61248607
PPM004,526593.373702431,5659456.60091555
PPM004,526603.121371975,5659630.80273414
PPM004,526584.561911409,5659453.99770547
PPM004,526663.394277525,5659528.35790481
PPM004,526522.81072669,5659816.77351643
PPM004,526392.034942301,5659368.6021545
PPM004,526639.067401794,5659519.2243522
PPM004,526610.067352322,5659506.2857331
PPM004,523642.306988669,5659920.53151475
