ID,EASTING,NORTHING
OMPM004,447437.196156695,5435641.19693402
OMPM004,447475.618243349,5435635.15136565
OMPM004,447438.626185883,5435916.55381282
OMPM004,447107.514532945,5435723.1812259
OMPM004,446341.668502258,5435328.95899342
OMPM004,446311.047028712,5435182.78169287
OMPM004,446320.233891884,5435180.98055318
OMPM004,446327.897948807,5435094.38935917
OMPM004,446279.165421029,5435040.15217564
OMPM004,446325.048877947,5434870.45356928
OMPM004,445517.80690208,5433474.34988896
OMPM004,445379.694882093,5433228.48784605
OMPM004,445313.255778479,5433333.10336766
OMPM004,442817.504673922,5434695.9461005
OMPM004,441811.847991045,5435541.76991316
OMPM004,441194.508181489,5435962.45990802
OMPM004,441159.036576736,5435835.0379392
OMPM004,441225.634940416,5435954.54715993
OMPM004,441187.221501081,5435816.22748227
OMPM004,441192.366636835,5435828.19115069
OMPM004,441239.71685318,5435935.21958358
OMPM004,441470.804255894,5436321.23816546
OMPM004,441493.333517289,5436395.64474401
OMPM004,441528.57582535,5436545.96265924
OMPM004,442788.280649688,5437985.04594924
OMPM004,445664.964828065,5436191.25540622
OMPM004,445677.518829968,5436173.27735751
OMPM004,445693.636804535,5436156.00926698
OMPM004,445656.72831053,5436213.04892513
OMPM004,445636.050778038,5436320.83703215
OMPM004,445758.145604142,5435905.66448926
OMPM004,445768.578374623,5435797.02117105
OMPM004,445761.29429171,5435928.10232706
OMPM004,445461.190181883,5435879.65289238
OMPM004,445102.376444275,5436274.0049447
OMPM004,445108.583629248,5436275.38870319
OMPM004,445108.858484885,5436261.85582051
OMPM004,444903.45704312,5435989.37902026
OMPM004,444838.104567752,5436026.41761525
OMPM004,444722.492010625,5435872.9240464
OMPM004,444305.868898335,5435625.89479245
OMPM004,444561.998576546,5435719.78181927
OMPM004,444491.591068226,5435654.84845822
OMPM004,444478.230584087,5435667.90107705
OMPM004,444511.26382215,5435674.71867311
OMPM004,445189.293647422,5436216.13274167
OMPM004,445567.281572039,5436306.07024025
OMPM004,445960.000255633,5436258.10909232
OMPM004,445963.506979863,5436229.76945658
OMPM004,445945.04861623,5436234.79688283
OMPM004,445981.304841549,5436211.6853544
OMPM004,445960.493110292,5436249.48814076
OMPM004,445845.051042993,5436480.88382657
OMPM004,444400.095432568,5436623.09107939
OMPM004,444524.69963583,5436595.12549961
OMPM004,444258.785024334,5435878.55016341
OMPM004,444504.590986026,5436208.61048154
OMPM004,444535.198483513,5436403.78551692
OMPM004,444493.162647076,5436451.43454051
OMPM004,445865.892433617,5436371.58293503
OMPM004,445964.132851721,5436048.40193697
OMPM004,444993.515046913,5436163.61984186
OMPM004,445000.644460893,5436164.44955711
OMPM004,444753.541965744,5435922.7102937
OMPM004,444731.770994385,5435884.90519394
OMPM004,444535.164080014,5435695.15808859
OMPM004,444538.185165528,5435699.24136235
OMPM004,444506.495908673,5435674.17720841
OMPM004,444527.693913053,5435681.52485071
OMPM004,444616.577256186,5435710.33054383
OMPM004,444708.047431442,5435730.56235988
OMPM004,444735.779914206,5435714.97658249
OMPM004,444338.710313836,5435548.88623878
OMPM004,444342.375799534,5435564.73652019
OMPM004,444265.017014467,5435397.4489492
OMPM004,444625.655907324,5437283.29870864
OMPM004,444378.669398092,5436535.99926874
OMPM004,444633.113777506,5436540.14195274
OMPM004,444718.291217493,5436642.473803
OMPM004,444660.927440032,5436574.76221342
OMPM004,444714.640765271,5436655.75137582
OMPM004,444652.071581853,5436558.9858395
OMPM004,444606.571930019,5436085.11740554
OMPM004,444610.049425168,5436114.41097311
OMPM004,444514.990332909,5436137.7868951
OMPM004,445526.024686828,5436132.4296604
OMPM004,445601.297837595,5436323.53526746
OMPM004,445674.805270195,5436279.34375752
OMPM004,445936.922955255,5436431.12416412
OMPM004,445944.92607375,5436435.47083753
OMPM004,445491.777087424,5436658.44113004
OMPM004,445062.637280451,5436011.15578071
OMPM004,445085.966910306,5435971.45681617
OMPM004,444708.100689858,5435880.02734963
OMPM004,444339.845639974,5435662.58612393
OMPM004,444343.580417707,5435666.43976893
OMPM004,444283.116125605,5435572.23638805
OMPM004,444694.94944284,5435463.42520437
OMPM004,444863.988563021,5435320.43493799
OMPM004,444822.216978587,5435306.27567937
OMPM004,444508.567762226,5435125.60109774
OMPM004,444474.176810309,5435162.21143663
OMPM004,444396.732302568,5435110.23507757
OMPM004,444276.60792469,5435299.24135083
OMPM004,444066.920840548,5435091.72034709
OMPM004,444177.871371941,5435146.71193415
OMPM004,444086.275317384,5435048.58860674
OMPM004,444212.689349432,5434842.92740765
OMPM004,444622.518020554,5435137.01258225
OMPM004,444523.301731012,5436631.27189593
OMPM004,444538.181333615,5436651.99067388
OMPM004,444494.987046939,5436586.07332423
OMPM004,444602.615934008,5436336.53813075
OMPM004,444577.640416324,5436226.61213085
OMPM004,444597.14542184,5436154.75258815
OMPM004,444498.534055257,5435784.96648449
OMPM004,444533.146414662,5435703.01623234
OMPM004,444603.520102153,5435146.0521685
OMPM004,444422.211583279,5435146.52305432
OMPM004,444418.291630075,5435554.47970674
OMPM004,444417.634227382,5435629.45257811
OMPM004,444456.058025899,5435647.87816382
OMPM004,444386.769679013,5435658.24581345
OMPM004,444386.815851667,5435648.29505641
OMPM004,444458.146128118,5435641.95375474
OMPM004,444478.453796907,5435653.734962
OMPM004,444389.10492473,5435642.02395502
OMPM004,444387.206059987,5435647.14602075
OMPM004,444400.559470885,5435662.50995339
OMPM004,444421.734446101,5435649.34536919
OMPM004,444231.250427229,5435568.28908187
OMPM004,444243.590849695,5435574.39072486
OMPM004,444506.312056399,5436123.07626097
OMPM004,444475.883595476,5436171.08711314
OMPM004,444515.244009447,5436201.0104343
OMPM004,444601.698906591,5436088.63485722
OMPM004,444584.207880548,5436063.99527174
OMPM004,444609.090491718,5436079.87803744
OMPM004,444546.067469472,5436616.13506073
OMPM004,444608.685031656,5436159.09532628
OMPM004,444503.729816568,5436212.32129004
OMPM004,444297.463049674,5435626.05714846
OMPM004,444305.707367588,5435614.18953283
OMPM004,444151.568628492,5435423.78425561
OMPM004,444355.491675573,5435411.00336071
OMPM004,444188.861602214,5435421.81853823
OMPM004,444641.823925365,5435122.96705193
OMPM004,444639.833650943,5435124.83246811
OMPM004,444536.572916781,5433755.37420444
OMPM004,444838.770388775,5435353.271773
OMPM004,444842.937728027,5435356.56556138
OMPM004,444835.260741984,5435348.53726392
OMPM004,444835.757727017,5435341.2280347
OMPM004,444849.41431494,5435308.59522905
OMPM004,444893.443130426,5435227.30968642
OMPM004,444860.906244688,5435198.64982819
OMPM004,444218.313535255,5434897.2360265
OMPM004,444126.722878538,5434897.03613845
OMPM004,443616.814110253,5434141.6770475
OMPM004,444159.119071451,5433392.9614366
OMPM004,444258.887199851,5433033.2142152
OMPM004,444179.206294304,5433589.48529476
OMPM004,444183.833606376,5433617.96649565
OMPM004,444273.63487469,5433597.98498636
OMPM004,443994.278330204,5434177.52794771
OMPM004,444363.390151196,5435670.81009044
OMPM004,444375.637434623,5435655.3113697
OMPM004,444325.753139898,5435607.13952547
OMPM004,444300.866899963,5435591.91397083
OMPM004,444410.080758097,5435685.42790758
OMPM004,444388.02315689,5435709.60787306
OMPM004,444491.11970935,5435758.68085556
OMPM004,444582.801638046,5435768.71359957
OMPM004,445277.082300294,5435912.17588225
OMPM004,445319.576351395,5436020.06400119
OMPM004,445287.987941136,5436000.21974312
OMPM004,445281.091015261,5435991.1492009
OMPM004,445268.541026814,5435975.4528426
OMPM004,445251.294819685,5436085.38760234
OMPM004,445758.688217469,5435897.67673579
OMPM004,445900.691940444,5435234.10172083
OMPM004,444813.882635086,5434927.22556913
OMPM004,444563.912035192,5436234.16502066
OMPM004,444554.71357884,5436235.31329059
